p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,hardship,contact,t1,t2,t3,t4,t5,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,utility,id
7,3,5,5,7,4,2,2,4,4,5,1,6,6,5,1,2,4,6,4,6,4,6,4,4,6,4,2,4,4,AU02,134
7,6,5,7,7,7,5,6,6,5,1,1,6,7,7,6,7,6,6,4,6,4,6,4,4,5,4,6,4,7,AU02,135
7,7,7,7,7,4,2,7,2,2,2,1,7,6,6,6,4,4,6,4,6,4,4,4,4,4,4,6,4,4,AU02,136
7,6,5,7,7,5,4,7,5,5,2,1,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,AU02,137
7,7,7,7,7,5,5,6,6,6,2,1,7,7,7,7,7,5,7,7,7,7,7,7,5,6,7,4,7,7,AU02,138
7,7,7,7,7,4,4,7,4,4,4,2,6,6,3,5,3,4,6,6,6,6,6,6,5,5,6,6,6,6,AU02,139
7,7,7,7,7,7,7,7,7,7,7,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,AU02,140
6,6,5,6,7,4,4,6,4,4,4,1,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,AU02,141
7,1,7,7,7,3,5,7,6,3,1,1,6,7,7,7,6,6,6,6,6,6,6,7,7,6,6,5,6,6,AU02,142
7,7,7,7,7,5,4,6,4,5,4,2,7,7,7,7,7,7,7,7,7,7,6,7,6,6,7,6,7,7,AU02,143
7,7,7,7,7,7,7,7,7,7,5,1,6,6,7,7,6,6,6,6,6,6,6,6,6,6,6,5,6,5,AU02,144
7,7,7,7,7,7,5,7,7,6,1,1,7,6,6,7,5,6,7,7,7,7,7,7,6,7,7,6,7,6,AU02,145
7,7,7,7,7,7,7,7,7,7,1,1,7,7,7,7,7,7,7,7,7,7,7,7,4,7,7,7,7,7,AU02,146
7,7,1,7,7,1,1,7,7,3,1,1,7,5,5,6,6,7,6,7,7,7,7,7,7,6,7,7,7,7,AU02,147
7,7,7,7,7,7,7,7,7,7,1,1,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,AU02,148
7,7,7,7,7,6,4,7,5,4,1,1,7,4,6,5,5,4,6,4,4,4,6,4,4,4,4,4,4,4,AU02,149
7,7,7,7,7,7,6,7,7,4,4,2,7,7,6,7,7,6,6,7,7,6,6,6,7,6,6,6,6,6,AU02,150
7,7,7,7,7,4,4,5,3,5,1,1,7,7,6,7,6,7,4,4,6,4,6,4,4,6,4,7,4,7,AU02,152
7,6,5,6,7,6,4,4,3,4,4,1,6,6,6,6,6,4,6,6,6,6,6,5,4,2,6,4,6,4,AU02,153
7,7,7,7,7,6,5,7,5,5,5,1,7,7,7,7,3,6,6,6,6,6,4,6,4,4,6,6,6,6,AU02,154
7,6,6,7,7,5,4,4,4,4,2,1,6,6,6,6,7,4,7,5,7,5,4,4,4,4,4,6,4,4,AU02,155
7,6,5,7,7,4,4,6,4,6,1,1,7,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,AU02,156
7,7,7,7,7,4,4,5,5,4,1,2,7,7,6,6,6,7,7,6,7,7,7,6,6,6,6,6,6,6,AU02,157
6,6,5,6,7,2,2,2,2,2,1,2,7,7,6,6,6,4,7,7,7,6,7,7,4,7,7,7,7,6,AU02,158
7,6,6,7,7,4,4,7,4,4,1,1,6,7,7,6,7,7,7,7,6,7,7,7,6,6,7,7,7,6,AU02,159
7,7,7,7,7,6,5,7,5,5,1,5,6,6,5,4,6,4,6,6,6,6,6,6,4,4,6,4,6,6,AU02,160
