Easting,Northing,Depth
352171.1,4386707,8.7
352205.9,4386707,10.7
352162.2,4386707,6.1
352180.8,4386707,8.8
352875.9,4386707,98
352970.8,4386707,18.7
352810.3,4386707,20.9
352811.8,4386708,20.3
352859,4386708,92.9
352770.3,4386708,12.2
352559.5,4386708,17.2
352169.6,4386708,7.1
352958.2,4386708,39.2
352769.1,4386708,13.3
352559.7,4386709,15.7
352523.5,4386709,53.1
352558.5,4386709,16.6
352414.2,4386709,9.8
352546.8,4386709,25.3
352163.3,4386709,6.2
352167.1,4386709,6.9
352429.4,4386710,22.1
352773,4386710,11
352488.6,4386710,69.3
352809.8,4386710,17.4
352164.3,4386710,6.5
352791.2,4386710,15.4
352795.8,4386710,15.4
352798.7,4386711,15.6
352776.2,4386711,9.8
353059.9,4386711,8.9
352859.3,4386711,88.7
352826.1,4386711,13.7
352205.5,4386711,11.2
352961.1,4386711,35.8
352970.8,4386711,21
352184.3,4386711,10.2
352525.5,4386711,47.8
352813.5,4386711,13.9
352788.1,4386711,14.5
352412.7,4386712,10.9
352779.1,4386712,9.9
352827.7,4386712,9.2
353043,4386712,24.2
352806.1,4386712,13.9
352816,4386712,11.7
352807.4,4386712,14.6
352802.9,4386712,14.8
352785.2,4386712,12.7
352782.1,4386712,10.9
352969,4386712,24
352830,4386713,8.2
352820,4386713,9.4
352186.4,4386713,10
352963.4,4386713,31
352428.4,4386713,22.6
352970.7,4386714,28.9
352823.3,4386714,8.6
352204.9,4386714,12.8
352826.2,4386714,7.8
353060.4,4386714,8.3
352859.1,4386714,82.4
352411.9,4386714,12.3
352555.6,4386715,16.3
352488.5,4386715,69.1
352189.1,4386715,9.3
352542.6,4386715,24.4
352529.3,4386715,37.8
353041.9,4386715,26.7
352873.7,4386715,92
352973.5,4386716,21.9
352190.8,4386716,9.7
352204.4,4386716,11.7
352830.6,4386716,7.2
353060.4,4386717,7
352560.3,4386717,14.4
352530.9,4386717,33.9
352858.6,4386717,75.9
353040.8,4386717,29.2
352831.8,4386717,8.1
352193.6,4386718,10.3
352834.3,4386718,9.3
352248.5,4386718,6.4
352426.1,4386718,23.1
352554.2,4386718,15.4
352245.1,4386718,8.5
352553.5,4386719,15.2
352872.6,4386719,87.6
352242.3,4386719,10.5
352838,4386719,13.1
352251.7,4386719,6.5
352968.2,4386719,29.9
352857.9,4386720,70.8
353059.5,4386720,9.5
352835.9,4386720,10.9
352560.8,4386720,12.9
352538.4,4386720,24.9
353019,4386721,14.4
352534.9,4386721,26.9
352552.5,4386721,14.3
353036.4,4386721,29.7
352196.5,4386721,10.6
352487.3,4386721,68.7
352411.5,4386721,13.6
352561.1,4386722,11.4
352983.8,4386722,16.8
352536.8,4386722,27.4
353014.9,4386722,14.5
352971.6,4386722,30.2
352985.2,4386722,14.1
353022.3,4386722,17.4
352988.1,4386723,11.4
353032.3,4386723,29.6
352202.5,4386723,11.4
352970.5,4386723,32.3
352236.8,4386723,13.9
352992.5,4386723,9.9
352486.6,4386723,68.6
353010.1,4386723,15.9
353005.8,4386723,15.8
352871.6,4386723,81.7
352201,4386724,11.1
352537.8,4386724,24.2
353058.4,4386724,12.4
353001.4,4386724,15.2
352411.4,4386724,16.6
352561.4,4386724,8.1
352423.3,4386724,24.8
353028.3,4386724,26.9
352842.4,4386724,26.2
352996.8,4386724,11.2
352837.6,4386725,15.4
352234.4,4386725,13.8
352258,4386725,7.7
352552.8,4386725,13
352538.8,4386725,21.3
352856,4386725,50.4
352870.8,4386726,72.3
353057.6,4386726,15.4
352838.1,4386726,12.4
352203.8,4386726,11.4
352554.1,4386726,11.8
352485.5,4386727,69
352970.3,4386727,36.2
352258.6,4386727,9.9
352974.9,4386727,30.6
352560.5,4386727,7.3
352555.8,4386727,9.8
352560,4386727,6.8
352206.4,4386728,11.8
352231.6,4386728,14.5
352870.3,4386728,68
352839.5,4386728,10.9
353056.9,4386728,16.2
352541.6,4386728,18.5
352557.5,4386728,8.5
352421.3,4386729,25.8
352542.6,4386729,15.9
352229.4,4386730,16.1
352848.1,4386730,26.4
352842.6,4386731,10.6
352484.6,4386731,69
